id,host_id,neighbourhood,latitude,longitude,room_type,price,distance_to_center,zone
758635,3758021,GIAMBELLINO,45.44973,9.15069,Private room,156,3.5,3
763503,1621852,SARPI,45.48099,9.17046,Entire home/apt,781,2.44,2
767645,4048956,CENTRALE,45.48117,9.20261,Entire home/apt,120,2.11,2
768270,1621852,SARPI,45.48104,9.17066,Entire home/apt,153,2.44,2
768879,3951824,SARPI,45.47769546508789,9.172296524047852,Entire home/apt,109,2.07,2
768969,4056380,BUENOS AIRES - VENEZIA,45.47141,9.20793,Entire home/apt,88,1.58,2
772574,4076323,MAGENTA - S. VITTORE,45.45799,9.16863,Entire home/apt,110,1.85,2
773679,4082476,CENTRALE,45.49350205779939,9.2070412981358,Entire home/apt,293,3.51,3
786441,4146036,CENTRALE,45.48212,9.20569,Entire home/apt,110,2.32,2
802843,3891159,LODI - CORVETTO,45.44095,9.22191,Entire home/apt,55,3.56,3
806673,4246019,ISOLA,45.48702,9.1872,Entire home/apt,90,2.56,2
810216,4236040,TIBALDI,45.44036,9.17976,Entire home/apt,170,2.78,2
812419,3052996,DUOMO,45.46104082375237,9.179196874614597,Entire home/apt,168,0.95,1
815097,3728911,DUOMO,45.46015,9.1822,Entire home/apt,121,0.79,1
815792,1865237,BUENOS AIRES - VENEZIA,45.47782,9.20454,Private room,81,1.87,2
816254,3580799,PAGANO,45.47821,9.16158,Entire home/apt,514,2.75,2
833602,2911163,BUENOS AIRES - VENEZIA,45.48234,9.2107,Entire home/apt,81,2.56,2
841823,4395515,GIAMBELLINO,45.44489,9.12682,Entire home/apt,40,5.42,4
846463,4419679,ISOLA,45.48801,9.19221,Entire home/apt,186,2.66,2
849465,4434902,SARPI,45.48418,9.17031,Private room,60,2.73,2
868679,4571936,DUOMO,45.46848,9.1992,Entire home/apt,204,0.83,1
870535,4587866,NIGUARDA - CA' GRANDA,45.50774,9.19108,Private room,29,4.85,4
871888,4597417,GHISOLFA,45.48906,9.16214,Entire home/apt,87,3.55,3
874681,4617243,CITTA' STUDI,45.48173,9.23403,Entire home/apt,95,3.92,3
874880,4618386,DUOMO,45.46339,9.18508,Entire home/apt,260,0.44,1
876400,1230004,BUENOS AIRES - VENEZIA,45.48512,9.20956,Private room,53,2.76,2
883054,472321,TICINESE,45.45615,9.18114,Entire home/apt,98,1.16,1
886510,4268256,SARPI,45.48345,9.17657,Entire home/apt,75,2.41,2
887729,4638643,TICINESE,45.44562,9.1806,Entire home/apt,150,2.21,2
901720,4817729,ISOLA,45.49395,9.18731,Entire home/apt,111,3.32,3
914201,1251746,SARPI,45.4764518737793,9.173406600952148,Entire home/apt,110,1.91,2
918194,307669,BUENOS AIRES - VENEZIA,45.47562,9.2042,Entire home/apt,102,1.66,2
919349,4938524,TORTONA,45.45252,9.16782,Entire home/apt,132,2.2,2
922867,4507224,GUASTALLA,45.4551,9.20155,Entire home/apt,128,1.33,1
925938,4981679,BUENOS AIRES - VENEZIA,45.4723,9.21029,Private room,78,1.79,2
930303,5010885,PAGANO,45.47237,9.15905,Entire home/apt,98,2.62,2
932684,5023179,GUASTALLA,45.4565,9.1982,Entire home/apt,61,1.04,1
933303,1373018,UMBRIA - MOLISE,45.44758,9.21938,Entire home/apt,280,2.91,2
933852,1178668,GIAMBELLINO,45.44623,9.12544,Private room,100,5.46,4
934346,1178668,LORENTEGGIO,45.4462,9.12335,Entire home/apt,425,5.62,4
935594,5047682,BRERA,45.47554,9.18942,Entire home/apt,353,1.27,1
936562,4971473,BUENOS AIRES - VENEZIA,45.48467,9.21342,Entire home/apt,95,2.9,2
938960,514653,CITTA' STUDI,45.48509,9.22661,Private room,141,3.65,3
942403,962865,NAVIGLI,45.45231,9.17191,Entire home/apt,100,1.97,2
946414,5128575,BANDE NERE,45.45535,9.14897,Entire home/apt,93,3.39,3
948652,2057564,TICINESE,45.45464,9.17698,Private room,45,1.5,1
949022,2057564,TICINESE,45.4544,9.17632,Private room,45,1.56,2
950392,5155849,NAVIGLI,45.45285,9.17317,Entire home/apt,104,1.85,2
951546,5088355,BUENOS AIRES - VENEZIA,45.47696,9.20825,Entire home/apt,190,1.98,2
955366,5189733,FORZE ARMATE,45.45999,9.1051,Private room,60,6.69,5
957146,5198700,SARPI,45.48122,9.17735,Entire home/apt,118,2.16,2
959677,5221801,BUENOS AIRES - VENEZIA,45.47535,9.20952,Private room,60,1.93,2
959718,5222974,WASHINGTON,45.46369,9.15574,Entire home/apt,110,2.72,2
961760,5237955,BUENOS AIRES - VENEZIA,45.474850000000004,9.208914,Entire home/apt,80,1.86,2
962104,2452841,GUASTALLA,45.45239,9.20218,Entire home/apt,63,1.6,2
963222,5248666,SARPI,45.48176,9.17806,Entire home/apt,135,2.19,2
965636,4782086,WASHINGTON,45.46064,9.15852,Entire home/apt,186,2.53,2
966079,5268770,TORTONA,45.45334,9.16914,Entire home/apt,120,2.06,2
966693,2158679,NAVIGLI,45.44698,9.16443,Entire home/apt,68,2.8,2
970760,1808403,SARPI,45.48102,9.16798,Entire home/apt,97,2.57,2
974116,5327727,LORETO,45.49173,9.21648,Entire home/apt,100,3.67,3
975346,1296653,NAVIGLI,45.45062,9.17698,Entire home/apt,150,1.85,2
976417,5380779,BUENOS AIRES - VENEZIA,45.47387,9.20708,Entire home/apt,350,1.68,2
976424,5342691,SARPI,45.48031,9.17412,Entire home/apt,300,2.21,2
976705,5344212,MAGENTA - S. VITTORE,45.46859,9.17286,Entire home/apt,229,1.47,1
976817,5344721,TICINESE,45.45661,9.182,Private room,120,1.08,1
979874,5362680,BUENOS AIRES - VENEZIA,45.47896,9.214,Entire home/apt,160,2.46,2
980053,4585087,BOVISA,45.49781,9.169,Entire home/apt,200,4.1,3
982767,1812431,TICINESE,45.4435,9.17724,Entire home/apt,67,2.53,2
982808,5384564,TICINESE,45.45729,9.17658,Entire home/apt,166,1.33,1
984531,2297441,BUENOS AIRES - VENEZIA,45.48395,9.2096,Entire home/apt,279,2.66,2
984744,5401605,CENTRALE,45.47972,9.20326,Entire home/apt,290,1.99,2
985287,5405314,NAVIGLI,45.4515,9.17132,Entire home/apt,197,2.06,2
987832,5420264,TORTONA,45.45171,9.15977,Private room,40,2.78,2
991533,541519,VILLAPIZZONE,45.49999,9.14441,Entire home/apt,195,5.37,4
993588,1697947,MAGENTA - S. VITTORE,45.46107,9.16391,Entire home/apt,400,2.11,2
993909,1697947,TORTONA,45.4588,9.16417,Private room,400,2.15,2
996340,5189733,FORZE ARMATE,45.45999,9.1051,Entire home/apt,80,6.69,5
996360,5474184,SARPI,45.48186,9.16909,Entire home/apt,118,2.58,2
996428,1452929,BRERA,45.47656,9.18948,Entire home/apt,200,1.38,1
1001862,240054,PADOVA,45.50247,9.22509,Entire home/apt,250,5.04,4
1005537,5530164,ADRIANO,45.51299,9.24303,Entire home/apt,80,6.8,5
1008610,5547524,VIGENTINA,45.44518,9.19466,Entire home/apt,93,2.14,2
1012803,5416717,DUOMO,45.45725,9.18388,Private room,166,0.93,1
1013746,5576078,QUINTO ROMANO,45.47848,9.09185,Shared room,170,7.87,6
1013771,5576078,QUINTO ROMANO,45.47697,9.09372,Private room,80,7.69,6
1017490,5599977,ISOLA,45.49167,9.18686,Entire home/apt,73,3.07,3
1019216,1697947,TORTONA,45.45924,9.1659,Entire home/apt,500,2,2
1019978,4664534,CENTRALE,45.48692,9.20942,Private room,65,2.93,2
1022828,2265268,PORTA ROMANA,45.4509,9.19866,Entire home/apt,68,1.61,2
1023443,18093987,BUENOS AIRES - VENEZIA,45.47712,9.20399,Entire home/apt,45,1.78,2
1024464,5119662,GIAMBELLINO,45.44586,9.14131,Entire home/apt,55,4.35,3
1025614,615601,GIAMBELLINO,45.44416,9.11816,Entire home/apt,90,6.08,5
1025621,358409,LORETO,45.49216,9.21704,Entire home/apt,120,3.74,3
1027964,5601946,PAGANO,45.4753,9.16263,Private room,62,2.51,2
1028008,4109061,ADRIANO,45.5123,9.24488,Entire home/apt,186,6.83,5
1028515,4788453,CORSICA,45.46769,9.23198,Entire home/apt,47,3.26,3
1028560,5483728,VILLAPIZZONE,45.49762,9.13759,Entire home/apt,63,5.56,4
1028722,5965357,GIAMBELLINO,45.45137,9.15361,Entire home/apt,69,3.22,3
1028829,3853352,CITTA' STUDI,45.47931,9.23656,Entire home/apt,85,3.97,3
1029149,5662634,DUOMO,45.45984,9.19147,Entire home/apt,250,0.49,1
1029184,5142259,SARPI,45.4858,9.16629,Entire home/apt,80,3.06,3
1029260,5415073,PARCO FORLANINI - ORTICA,45.46267,9.24134,Private room,110,3.97,3
1029774,2958240,BUENOS AIRES - VENEZIA,45.47715,9.21623,Private room,100,2.47,2
1029777,1697947,WASHINGTON,45.45939,9.16378,Private room,150,2.16,2
1029915,4505851,TORTONA,45.45102,9.16701,Entire home/apt,150,2.35,2
1030247,5668913,DUOMO,45.4599,9.18112,Entire home/apt,130,0.88,1
1031215,5415073,PARCO FORLANINI - ORTICA,45.46372,9.24172,Private room,110,3.99,3
1031219,5415073,PARCO FORLANINI - ORTICA,45.46247,9.24125,Private room,110,3.96,3
1033738,5689260,NAVIGLI,45.44675987226629,9.166112135867438,Entire home/apt,300,2.72,2
1033982,1575794,UMBRIA - MOLISE,45.448,9.21255,Entire home/apt,96,2.49,2
1034411,5483728,VILLAPIZZONE,45.49578,9.1359,Entire home/apt,59,5.53,4
1035314,5698568,TICINESE,45.4464,9.17961,Entire home/apt,145,2.16,2
